player_id,device_id,event_date,games_played
28,190,04/01/19,68
71,166,20/03/19,13
59,156,03/03/19,26
88,105,21/02/19,5
42,55,01/01/19,46
55,97,08/03/19,76
1,3,03/01/19,16
28,4,22/02/19,50
63,148,01/01/19,66
62,18,10/01/19,56
8,160,07/02/19,52
13,17,19/01/19,49
27,91,15/01/19,78
22,152,14/03/19,33
73,56,16/02/19,25
80,154,31/01/19,29
4,12,04/01/19,34
7,88,08/02/19,8
66,42,02/01/19,48
99,162,01/01/19,88
19,117,28/02/19,86
54,127,01/01/19,11
67,102,19/01/19,83
69,106,30/01/19,16
85,129,02/02/19,97
62,178,06/03/19,39
87,38,11/01/19,12
66,38,04/03/19,46
93,175,12/02/19,55
68,157,03/01/19,98
38,157,21/02/19,52
65,199,26/03/19,72
61,167,01/03/19,55
20,92,15/02/19,30
61,45,17/02/19,86
77,178,26/01/19,52
34,61,16/03/19,54
7,185,21/02/19,86
8,91,03/03/19,10
32,152,03/03/19,46
83,5,10/02/19,54
49,132,10/01/19,57
32,56,23/03/19,13
48,85,15/03/19,26
50,23,11/01/19,49
63,33,08/03/19,29
14,115,12/02/19,85
7,71,04/01/19,45
57,126,17/02/19,97
3,172,19/03/19,30
76,147,26/03/19,19
82,97,26/03/19,78
84,51,06/02/19,91
66,39,27/02/19,7
69,168,16/02/19,42
29,196,13/02/19,7
90,11,07/02/19,11
66,146,11/03/19,44
90,125,03/01/19,71
25,52,08/01/19,71
42,156,28/02/19,97
19,7,18/01/19,85
16,135,08/03/19,16
83,146,07/01/19,47
67,46,14/03/19,73
100,51,17/02/19,29
67,112,11/01/19,9
25,35,21/02/19,89
65,54,30/03/19,55
31,164,27/01/19,1
49,75,22/03/19,96
60,52,23/03/19,59
65,16,12/03/19,70
40,20,02/01/19,76
24,93,20/01/19,42
59,168,09/03/19,83
7,174,18/01/19,15
85,163,19/01/19,44
69,126,06/01/19,69
72,159,18/02/19,84
19,37,10/03/19,3
8,24,22/01/19,92
63,111,09/03/19,0
69,86,21/02/19,72
87,100,03/03/19,31
29,12,07/01/19,70
88,111,04/03/19,84
100,180,24/03/19,55
57,197,14/02/19,60
57,14,09/02/19,79
59,60,10/02/19,49
40,179,09/03/19,17
68,198,24/03/19,67
98,23,17/01/19,75
18,90,16/03/19,9
57,19,20/03/19,13
25,154,03/03/19,57
34,20,14/03/19,1
41,78,03/03/19,78
27,80,27/02/19,96
58,77,22/02/19,18
89,104,03/02/19,97
18,84,30/01/19,3
33,71,24/01/19,43
28,193,30/03/19,95
83,118,04/02/19,19
94,101,01/01/19,80
35,128,01/01/19,72
74,190,12/02/19,74
56,125,19/03/19,33
90,18,22/01/19,29
69,146,22/02/19,20
3,4,10/02/19,29
76,70,06/02/19,40
16,87,01/01/19,32
22,91,12/01/19,73
27,16,15/03/19,3
27,167,23/02/19,42
95,91,01/03/19,82
8,19,29/03/19,31
95,111,07/01/19,63
49,140,18/02/19,29
6,38,19/01/19,48
4,26,01/03/19,51
53,193,19/01/19,31
91,103,18/01/19,60
95,37,18/03/19,41
43,157,10/01/19,45
67,63,30/01/19,74
10,99,02/03/19,64
53,91,27/03/19,31
30,28,27/01/19,2
18,152,26/03/19,87
86,1,15/02/19,37
60,76,25/03/19,35
85,7,16/01/19,74
98,49,29/01/19,61
13,67,06/02/19,8
47,50,17/01/19,54
72,148,28/01/19,78
72,134,03/01/19,92
40,168,29/03/19,46
32,184,13/01/19,10
56,129,19/02/19,97
33,11,20/02/19,18
79,95,23/03/19,20
92,186,19/02/19,9
77,63,01/03/19,72
42,164,19/03/19,82
2,74,27/02/19,47
55,198,09/03/19,7
49,167,01/03/19,41
18,135,20/01/19,76
30,86,22/01/19,64
94,188,25/01/19,63
73,11,17/02/19,69
38,179,15/03/19,83
70,147,21/01/19,95
20,43,06/01/19,0
24,35,05/03/19,81
96,34,11/03/19,19
95,198,21/01/19,96
89,81,31/01/19,7
100,46,03/02/19,38
75,45,14/02/19,18
30,170,11/02/19,43
45,61,12/02/19,49
97,181,18/03/19,52
21,138,19/02/19,76
14,45,11/01/19,39
26,120,08/03/19,8
50,48,13/03/19,11
94,131,13/02/19,28
93,115,07/01/19,5
41,144,26/02/19,19
18,146,26/02/19,45
33,133,10/03/19,21
47,200,26/01/19,54
62,105,23/03/19,78
91,56,24/01/19,35
16,16,24/01/19,79
46,114,17/02/19,70
49,197,27/03/19,72
18,77,30/03/19,95
14,124,10/02/19,53
58,160,18/01/19,85
84,194,30/01/19,32
93,118,25/02/19,61
79,187,06/03/19,61
37,84,07/03/19,91
83,35,28/01/19,74
66,121,23/02/19,73
32,99,28/01/19,33
39,131,04/01/19,74
77,45,07/01/19,89
36,74,06/01/19,64
68,161,03/02/19,46
13,8,17/02/19,72
33,183,20/01/19,24
43,181,03/02/19,83
78,100,04/01/19,26
21,158,27/01/19,14
6,120,27/01/19,95
50,27,29/01/19,1
15,162,07/01/19,71
41,24,15/01/19,80
64,195,19/02/19,73
69,135,20/01/19,18
77,105,13/01/19,42
71,125,16/03/19,42
34,134,28/03/19,87
37,57,17/01/19,45
29,1,14/02/19,93
45,187,13/03/19,59
70,176,01/01/19,38
52,90,14/02/19,30
55,139,11/01/19,75
8,30,23/03/19,37
54,140,17/02/19,45
10,55,12/02/19,75
11,46,25/03/19,60
13,81,21/01/19,70
39,174,08/01/19,25
34,148,02/02/19,48
71,128,28/01/19,100
19,120,09/03/19,54
1,41,06/01/19,83
48,144,31/01/19,23
18,49,11/01/19,54
56,49,20/02/19,61
35,78,07/02/19,78
38,30,14/02/19,57
27,40,03/02/19,50
5,156,02/03/19,76
30,188,04/01/19,86
87,131,15/02/19,20
22,182,14/02/19,90
19,15,30/03/19,26
98,147,13/02/19,89
78,84,16/02/19,79
79,88,11/01/19,69
21,41,15/01/19,39
57,51,11/03/19,97
28,10,09/03/19,58
32,23,21/02/19,91
94,170,22/03/19,68
23,25,07/01/19,7
8,58,28/02/19,92
44,180,18/02/19,35
53,53,30/03/19,15
68,107,02/03/19,82
97,123,08/03/19,53
40,38,05/01/19,60
45,106,04/01/19,13
40,29,04/03/19,20
31,130,07/02/19,1
100,87,12/02/19,24
80,105,05/03/19,62
47,138,09/03/19,30
4,28,17/03/19,27
88,42,17/02/19,61
32,15,23/01/19,21
88,18,01/01/19,63
8,98,18/03/19,16
24,155,27/02/19,65
46,6,08/02/19,8
69,77,25/01/19,81
34,18,27/02/19,11
68,73,09/01/19,88
76,13,21/01/19,73
73,144,26/03/19,7
84,101,12/01/19,98
84,200,23/03/19,44
89,27,08/02/19,37
100,15,11/02/19,71
99,122,22/03/19,53
43,44,12/02/19,50
58,94,09/03/19,6
68,65,18/01/19,100
7,34,30/01/19,84
90,40,06/02/19,59
31,54,13/02/19,60
5,8,08/02/19,74
91,36,09/01/19,66
86,62,10/01/19,19
42,150,25/01/19,40
44,161,12/03/19,77
8,179,26/01/19,28
13,27,22/02/19,98
87,120,04/01/19,15
21,34,24/02/19,20
53,109,15/03/19,89
54,41,22/03/19,90
8,175,22/03/19,6
94,193,30/01/19,32
40,81,12/01/19,17
64,34,01/02/19,100
68,3,21/03/19,32
19,72,28/01/19,65
94,5,24/01/19,59
74,14,03/03/19,9
69,18,16/01/19,54
54,191,03/03/19,11
20,14,05/03/19,68
62,2,09/03/19,80
70,25,08/03/19,34
44,46,29/03/19,97
28,67,01/02/19,55
39,183,24/02/19,91
92,53,28/01/19,86
60,9,13/01/19,56
90,140,20/01/19,80
89,44,13/03/19,92
30,137,25/03/19,55
27,138,03/01/19,62
84,18,03/03/19,28
17,63,05/03/19,2
54,187,07/01/19,3
27,50,12/03/19,75
69,122,08/02/19,40
64,24,28/03/19,30
25,194,14/01/19,63
28,90,29/01/19,4
86,49,07/03/19,66
76,197,02/03/19,18
64,48,02/01/19,74
12,174,14/01/19,32
48,154,08/01/19,76
72,15,01/01/19,29
59,62,11/03/19,89
8,179,23/01/19,12
9,86,24/02/19,48
88,191,17/01/19,42
52,103,25/01/19,37
2,36,08/01/19,80
100,114,03/03/19,16
51,108,11/01/19,17
19,174,25/02/19,44
5,36,20/03/19,67
70,101,05/02/19,28
73,2,21/01/19,83
3,80,20/03/19,12
80,123,02/02/19,0
61,103,01/02/19,81
23,156,08/02/19,79
21,154,29/03/19,58
95,36,04/02/19,80
90,148,26/02/19,97
96,49,03/01/19,11
99,76,27/01/19,78
1,80,28/01/19,15
46,152,27/01/19,87
71,118,03/01/19,23
94,92,04/03/19,16
60,12,21/02/19,12
91,153,26/02/19,15
96,5,03/02/19,18
26,151,14/03/19,95
51,197,04/01/19,43
34,123,08/01/19,0
77,152,14/02/19,58
70,115,30/01/19,98
9,122,05/01/19,10
81,184,11/02/19,83
72,38,07/03/19,6
80,141,07/03/19,76
55,64,25/03/19,91
22,132,09/02/19,50
64,53,28/02/19,2
29,97,03/02/19,73
17,57,08/03/19,52
32,165,26/01/19,26
82,50,16/01/19,1
91,45,11/03/19,68
40,99,13/01/19,98
90,96,24/01/19,60
55,21,30/01/19,10
89,80,18/01/19,43
18,57,16/01/19,76
43,118,02/03/19,86
4,49,05/01/19,68
19,168,21/01/19,11
82,150,26/02/19,10
72,180,24/01/19,66
63,194,22/02/19,37
24,43,13/02/19,11
49,38,06/02/19,83
93,114,05/02/19,55
80,178,11/01/19,72
31,53,02/02/19,49
48,71,17/01/19,9
21,157,10/01/19,1
48,176,09/01/19,16
5,8,12/01/19,18
86,14,20/02/19,73
25,56,12/01/19,93
71,12,27/02/19,16
64,71,23/03/19,72
95,65,24/03/19,57
56,45,03/02/19,73
55,56,08/01/19,5
79,195,31/01/19,91
27,4,17/02/19,38
23,170,25/02/19,0
75,90,24/03/19,99
4,167,02/03/19,90
60,180,18/02/19,38
23,35,16/03/19,70
68,39,05/03/19,42
98,132,21/02/19,16
21,185,16/02/19,81
71,123,23/02/19,61
14,76,14/01/19,43
53,18,16/01/19,61
26,198,19/01/19,78
96,133,08/01/19,76
7,19,20/02/19,88
21,183,28/03/19,93
70,96,17/01/19,2
81,46,11/03/19,51
58,133,27/02/19,72
69,27,27/01/19,40
38,149,12/03/19,20
3,69,21/01/19,32
73,144,29/01/19,18
48,8,30/01/19,28
61,193,16/03/19,81
64,54,05/02/19,84
12,193,11/02/19,35
29,113,24/02/19,40
97,173,19/03/19,72
41,86,06/03/19,12
77,186,18/03/19,50
10,145,27/03/19,89
71,120,03/03/19,30
6,117,16/03/19,60
6,65,30/03/19,7
33,172,23/01/19,22
67,168,07/01/19,8
86,96,31/01/19,38
42,48,07/02/19,51
37,104,24/03/19,68
70,90,25/01/19,75
37,141,26/03/19,92
87,146,22/01/19,0
73,193,07/01/19,74
58,195,15/02/19,0
38,122,27/01/19,17
77,139,07/02/19,5
80,33,20/01/19,76
92,63,30/03/19,62
79,148,30/03/19,79
25,114,30/03/19,3
20,168,27/01/19,51
54,64,10/03/19,41
76,47,30/03/19,8
34,179,10/02/19,71
2,172,17/02/19,92
66,116,22/02/19,82
40,163,15/02/19,54
1,50,27/01/19,6
79,80,26/01/19,49
22,72,19/02/19,74
97,120,17/03/19,76
55,151,05/01/19,76
91,5,11/02/19,91
68,148,05/01/19,26
23,28,28/01/19,6
20,101,09/02/19,81
95,144,27/01/19,10
42,168,02/03/19,63
67,4,08/01/19,32
63,26,18/03/19,79
8,109,28/01/19,41
31,79,13/01/19,99
13,4,20/02/19,17
92,168,04/03/19,57
85,32,30/03/19,92
65,5,08/02/19,5
68,84,19/03/19,49
95,86,11/01/19,89
13,121,20/01/19,75
29,49,22/03/19,12
3,45,02/02/19,24
86,135,11/01/19,48
25,198,20/02/19,34
70,7,15/01/19,16
1,5,14/03/19,68
60,196,02/03/19,20
6,141,26/01/19,66
55,148,10/01/19,77
1,120,01/01/19,40
96,38,19/03/19,42
97,155,25/01/19,40
6,167,04/02/19,97
28,192,08/02/19,31
17,184,22/01/19,44
92,147,14/03/19,32
71,193,01/01/19,19
74,25,16/02/19,66
52,38,01/03/19,31
81,97,23/01/19,12
28,118,04/02/19,41
20,96,03/02/19,20
45,16,01/03/19,47
85,9,11/03/19,64
3,75,13/02/19,60
62,126,24/02/19,68
93,67,30/03/19,13
77,18,20/03/19,5
65,187,05/02/19,76
53,91,16/03/19,8
65,65,16/01/19,96
68,114,23/03/19,31
36,46,22/02/19,18
32,89,19/02/19,94
14,165,07/02/19,55
15,17,26/01/19,19
12,125,13/02/19,10
19,82,17/01/19,67
57,10,17/01/19,21
8,125,15/01/19,73
1,164,16/02/19,18
57,172,17/03/19,49
75,1,03/03/19,99
35,185,15/03/19,41
94,119,03/03/19,48
13,4,14/03/19,13
64,71,08/03/19,8
63,76,08/02/19,44
42,153,12/03/19,71
6,112,14/01/19,1
54,161,26/03/19,46
53,48,21/01/19,77
98,35,06/01/19,50
10,99,20/01/19,38
22,32,08/01/19,34
36,174,27/03/19,1
24,65,26/03/19,40
18,144,11/03/19,50
4,34,24/03/19,56
64,163,25/03/19,86
68,193,24/02/19,60
45,74,09/02/19,4
39,143,17/03/19,48
51,199,12/02/19,60
34,66,07/02/19,1
86,188,16/03/19,54
82,120,20/03/19,81
71,3,02/03/19,89
10,80,18/03/19,26
25,34,07/02/19,74
45,130,23/02/19,17
92,136,10/01/19,95
30,165,18/03/19,14
93,11,02/01/19,32
55,45,17/02/19,77
23,185,23/01/19,30
17,80,12/01/19,29
16,3,13/02/19,3
69,68,11/03/19,67
37,16,25/03/19,61
98,140,27/01/19,87
90,186,02/02/19,31
29,41,28/02/19,28
93,125,01/02/19,96
87,136,01/02/19,61
60,194,04/02/19,68
21,194,20/03/19,68
94,181,07/02/19,15
19,108,20/03/19,36
35,139,28/03/19,60
87,171,18/03/19,75
66,164,21/02/19,10
52,107,08/02/19,79
79,101,04/03/19,5
5,72,03/03/19,92
96,7,26/02/19,70
23,112,27/01/19,60
33,37,17/03/19,69
81,56,13/03/19,0
91,171,19/01/19,1
91,64,12/02/19,58
95,194,02/01/19,86
17,188,03/02/19,36
48,57,26/02/19,25
93,165,16/01/19,8
92,3,16/01/19,5
27,56,06/03/19,4
36,10,29/03/19,31
88,83,10/01/19,41
32,78,02/02/19,84
2,8,19/02/19,9
50,67,29/03/19,72
84,7,10/02/19,62
96,78,27/02/19,93
12,171,07/02/19,7
57,156,19/02/19,37
11,113,13/01/19,90
7,10,26/03/19,30
1,15,13/01/19,68
43,156,13/03/19,27
71,103,05/01/19,42
89,37,01/02/19,84
73,23,23/03/19,93
54,57,19/01/19,13
11,13,05/03/19,6
81,62,16/01/19,62
86,20,23/02/19,32
99,43,25/01/19,39
82,176,25/03/19,24
40,17,02/02/19,57
35,153,24/03/19,14
38,174,07/02/19,13
91,95,20/02/19,15
99,187,18/01/19,99
28,93,03/01/19,25
83,46,12/01/19,50
78,86,18/02/19,80
83,27,02/01/19,88
59,80,18/01/19,16
66,114,04/02/19,31
53,79,12/02/19,9
44,27,27/01/19,44
25,105,20/01/19,0
20,159,23/01/19,40
89,1,23/02/19,30
37,104,06/03/19,92
97,145,25/03/19,57
42,117,16/02/19,63
33,180,04/02/19,9
16,106,18/02/19,73
89,117,27/02/19,32
28,101,05/01/19,88
98,120,27/02/19,67
73,182,03/01/19,17
32,98,18/01/19,90
49,87,22/02/19,8
93,95,28/01/19,22
70,123,27/03/19,5
68,4,10/01/19,58
38,64,20/02/19,74
32,115,26/03/19,58
65,78,26/02/19,74
70,131,17/03/19,7
22,112,28/01/19,91
38,144,25/02/19,0
9,127,04/01/19,55
80,2,28/02/19,1
2,85,01/03/19,90
66,182,26/03/19,74
41,190,04/02/19,45
35,83,25/03/19,60
100,179,10/03/19,32
65,83,28/03/19,84
28,157,06/02/19,64
26,105,21/02/19,0
94,37,15/01/19,81
74,25,23/01/19,61
55,88,07/01/19,77
2,80,22/02/19,42
78,73,01/03/19,62
99,78,02/03/19,7
19,137,25/03/19,73
4,97,19/01/19,58
80,189,22/03/19,77
80,195,10/02/19,53
25,69,18/03/19,52
58,124,11/01/19,49
23,64,26/03/19,55
80,79,26/01/19,92
68,151,20/01/19,98
7,4,11/02/19,47
42,39,08/03/19,84
6,12,26/02/19,92
99,64,13/01/19,76
22,54,11/02/19,10
92,178,23/01/19,97
59,86,17/01/19,14
7,142,26/01/19,8
45,146,22/02/19,78
19,90,26/03/19,59
8,118,21/01/19,36
16,157,20/01/19,33
40,67,11/03/19,63
71,105,03/02/19,75
29,189,14/01/19,91
12,38,12/01/19,27
20,67,22/01/19,43
54,91,25/03/19,63
75,142,07/03/19,82
39,159,11/03/19,18
8,11,17/01/19,34
30,186,10/02/19,20
59,195,14/02/19,5
74,124,16/01/19,13
78,8,08/01/19,85
86,25,04/03/19,37
47,106,23/03/19,98
99,147,21/02/19,36
72,72,19/01/19,63
69,6,13/02/19,41
64,164,11/01/19,98
94,175,21/03/19,88
17,134,30/03/19,18
46,173,18/01/19,73
69,142,26/02/19,24
44,138,24/02/19,31
49,150,01/02/19,46
40,97,24/03/19,85
98,73,14/02/19,33
2,51,20/03/19,24
45,101,14/02/19,98
40,187,22/01/19,85
25,176,11/02/19,37
94,74,01/02/19,57
96,129,13/03/19,0
77,163,20/02/19,100
43,9,26/01/19,95
68,148,13/02/19,4
26,59,12/01/19,15
41,75,11/02/19,99
30,102,11/01/19,41
3,168,15/01/19,27
34,38,03/02/19,63
27,44,31/01/19,23
26,174,03/02/19,32
95,96,03/02/19,44
83,76,28/03/19,72
20,165,02/01/19,64
80,68,29/03/19,30
10,14,23/02/19,10
40,24,16/03/19,62
25,4,03/02/19,48
9,1,06/01/19,67
6,122,20/02/19,92
50,39,05/01/19,46
28,153,26/01/19,59
8,121,09/03/19,31
23,176,25/01/19,21
17,133,18/02/19,81
45,52,11/03/19,24
74,181,03/02/19,96
97,177,25/02/19,0
4,59,10/03/19,87
84,173,24/03/19,42
48,154,01/03/19,63
44,13,25/01/19,42
46,84,22/02/19,95
84,68,03/02/19,74
9,99,16/02/19,48
43,62,22/03/19,61
85,48,22/01/19,80
45,184,15/03/19,1
42,7,14/02/19,7
32,199,13/02/19,96
55,184,06/02/19,94
1,161,21/02/19,8
96,20,15/03/19,91
13,123,01/02/19,90
84,150,19/01/19,84
96,31,25/02/19,28
91,152,29/03/19,84
64,12,25/01/19,8
71,94,09/01/19,44
56,161,04/03/19,69
36,122,03/02/19,9
100,54,22/03/19,75
23,117,08/03/19,10
32,148,17/01/19,4
34,45,04/02/19,38
98,39,05/01/19,43
32,199,02/03/19,44
96,198,05/03/19,48
6,186,16/01/19,5
74,130,04/03/19,75
57,62,20/01/19,23
2,80,04/01/19,90
77,84,07/03/19,56
26,22,01/03/19,14
13,80,16/01/19,67
23,91,10/02/19,21
13,60,12/01/19,97
51,107,19/01/19,1
82,34,17/03/19,40
12,166,11/01/19,46
2,43,05/02/19,50
39,9,09/03/19,97
19,165,27/02/19,27
72,142,16/01/19,85
99,38,01/03/19,26
28,4,29/03/19,55
60,118,10/03/19,57
75,74,16/03/19,78
7,90,02/03/19,19
35,115,07/03/19,73
56,159,18/01/19,94
69,166,19/01/19,71
44,10,10/01/19,46
13,178,15/03/19,71
53,130,12/01/19,80
49,93,23/03/19,79
56,180,10/01/19,42
82,172,05/01/19,94
71,57,17/02/19,31
22,146,12/02/19,15
10,122,01/03/19,14
22,136,04/03/19,4
74,31,18/02/19,59
4,66,09/02/19,61
62,128,30/03/19,34
58,187,16/02/19,81
10,130,29/03/19,9
16,47,17/01/19,86
87,10,14/02/19,2
44,71,23/01/19,81
13,26,04/02/19,88
37,80,09/02/19,28
63,72,11/02/19,63
38,200,25/03/19,29
21,91,15/03/19,45
86,6,01/03/19,22
34,74,20/03/19,35
63,137,05/03/19,26
48,173,14/03/19,54
59,36,13/02/19,75
65,139,30/01/19,29
66,186,16/02/19,73
90,46,04/03/19,38
7,82,21/03/19,27
40,63,20/02/19,10
86,40,19/03/19,51
77,168,16/03/19,34
77,92,09/02/19,31
10,144,14/02/19,37
76,28,30/01/19,85
38,98,13/03/19,87
77,127,26/02/19,89
38,196,15/02/19,96
6,200,24/01/19,0
90,105,15/02/19,69
3,200,13/01/19,55
94,18,27/03/19,6
92,79,13/03/19,74
6,191,08/03/19,37
84,129,12/03/19,18
15,199,07/02/19,22
55,134,11/03/19,53
54,92,03/01/19,15
93,39,26/02/19,26
79,40,20/02/19,82
35,127,14/03/19,63
94,28,08/03/19,83
61,11,07/02/19,1
66,48,25/01/19,55
76,156,02/02/19,67
41,106,01/01/19,37
37,148,21/03/19,7
78,129,13/02/19,86
21,133,04/03/19,64
99,56,17/01/19,46
98,20,26/01/19,31
65,29,05/03/19,15
70,79,30/03/19,97
76,1,06/01/19,43
36,58,02/03/19,76
99,19,14/01/19,27
56,77,19/01/19,36
12,7,26/02/19,19
23,187,18/02/19,93
11,167,16/02/19,90
22,64,27/02/19,23
21,52,03/01/19,33
59,138,21/01/19,65
72,164,10/02/19,77
6,92,21/03/19,61
98,8,11/02/19,12
70,180,12/03/19,2
12,5,30/01/19,6
48,132,15/02/19,88
47,110,09/02/19,86
64,96,03/02/19,51
1,133,15/02/19,18
6,121,01/03/19,62
70,151,12/01/19,98
58,197,10/02/19,96
8,133,06/01/19,65
52,124,23/02/19,91
83,118,03/02/19,25
39,188,03/01/19,36
26,28,27/03/19,70
92,68,03/03/19,53
51,190,23/02/19,60
91,180,21/02/19,27
34,181,24/03/19,8
77,91,14/01/19,41
5,59,26/03/19,86
89,116,27/03/19,63
9,94,10/03/19,87
71,173,26/01/19,43
3,131,08/03/19,77
84,133,11/03/19,3
46,83,11/03/19,11
49,199,26/01/19,34
30,76,16/02/19,34
20,156,06/02/19,89
23,108,01/01/19,23
47,69,13/02/19,93
60,63,15/03/19,44
85,99,27/02/19,45
78,34,16/01/19,87
58,31,25/02/19,52
